ID,PROBLEM,URL,LEVEL,TAG,B75,B50,NC.io,G75,LC,SP,NOTES
101,Index Pairs of a String,https://leetcode.com/problems/index-pairs-of-a-string/,Easy,String,,,,,,X,Trie
102,Longest Word in Dictionary,https://leetcode.com/problems/longest-word-in-dictionary/,Medium,String,,,,,,X,Trie
103,Palindrome Pairs,https://leetcode.com/problems/palindrome-pairs/,Hard,String,,,,X,,X,Trie
104,Text Justification,https://leetcode.com/problems/text-justification/,Hard,String,,,,,,,Greedy
105,Parition Labels,https://leetcode.com/problems/partition-labels/,Medium,String,,,X,,,,Greedy
106,Valid Parenthesis String,https://leetcode.com/problems/valid-parenthesis-string/,Medium,String,,,X,,,,Greedy
107,Verifying an Alien Dictionary,https://leetcode.com/problems/verifying-an-alien-dictionary/,Easy,String,,,,,,,
,,,,,,,,,,,
109,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Easy,Stack,X,X,X,X,X,,
110,Longest Valid Parenthesis,https://leetcode.com/problems/longest-valid-parentheses/,Hard,Stack,,,,X,,,
111,Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/,Hard,Stack,,,X,X,X,,Monotonic stack
112,Daily Temperatures,https://leetcode.com/problems/daily-temperatures/,Medium,Stack,,,X,X,,,"stack with pairs of temp and index, initialize answers with all 0s, then traverse with enumerate
do while stack not empty and current temperature is greater than last elem on stack:
pop from stack and get the index, then do answer[stackindex] = i - stackindex
finally just append the current pair of temp and index"
113,Asteroid Collision,https://leetcode.com/problems/asteroid-collision/,Medium,Stack,,,,X,,,
114,Car Fleet,https://leetcode.com/problems/car-fleet/,Medium,Stack,,,X,,,,"can either do with stack or without one
REMEMBER TO SORT BY DECREASING POS, ZIP TWO ARRAYS TOGETHER

for without stack, just iterate through zipped array and keep track of slowest (target - p)/s
everytime you see a number slower than the one stored, just set prev = to that number and add one to answer

for with stack, iterate through zipped array again and append (target - p)/s for EACH ELEMENT
then if len(stack) >= 2 and stack[-1] <= stack[-2], pop once 
return length of stack"
115,"Basic Calculator (+, -, parentheses, space)",https://leetcode.com/problems/basic-calculator/,Hard,Stack,,,,X,,,Recursion
116,"Basic Calculator 2 (+, -, *, /)",https://leetcode.com/problems/basic-calculator-ii/,Medium,Stack,,,,X,,,"Recursion; convert infix to
postfix then eval postfix"
117,Evaluate Reverse Polish Notation,https://leetcode.com/problems/evaluate-reverse-polish-notation/,Medium,Stack,,,X,X,,,"stack problem, on + and * append stack.pop() + stack.pop() to stack, on - and / store the two stack.pop()s into a and b, then stack.append(b - a), return stack[0]"
118,Parse Lisp Expression,https://leetcode.com/problems/parse-lisp-expression/,Hard,Stack,,,,,,,Recursion
119,Remove All Adjacent Duplicates in String 2,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii/,Medium,Stack,,,,,,,
120,Simplify Path,https://leetcode.com/problems/simplify-path/,Medium,Stack,,,,,,,
121,Decode String,https://leetcode.com/problems/decode-string/,Medium,Stack,,,,,,,
122,Remove K Digits,https://leetcode.com/problems/remove-k-digits/,Medium,Stack,,,,,,,Monotonic stack
,,,,,,,,,,,
124,Custom Binary Search Implementation (bisect in Python),https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/discuss/702162/python-lets-implement-pythons-bisect-algorithm,,,,,,,,,
125,Powerful Binary Search Template for Problem Solving,https://leetcode.com/discuss/general-discussion/786126/python-powerful-ultimate-binary-search-template-solved-many-problems,,,,,,,,,
126,Binary Search for Beginners,https://leetcode.com/discuss/general-discussion/691825/Binary-Search-for-Beginners-Problems-or-Patterns-or-Sample-solutions,,,,,,,,,
127,Binary Search,https://leetcode.com/problems/binary-search/,Easy,Binary Search,,,X,X,,X,
128,Find Minimum in Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,Medium,Binary Search,X,X,X,X,,X,"classic binary search but keep track of min each iteration of while loop
just look at if guessed number is bigger than the number at the right pointer
if nums[m] > nums[r], then minimum is at the right half
else its at the left half"
129,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,Medium,Binary Search,X,X,X,X,X,X,"binary search but split conditions based off of left half and right half array

if in left half currently (if nums[m] > nums[r]):
then check if target < nums[l] or nums[m] < target, then l = m + 1
else go r = m - 1

else if in right half currently:
then check if target > nums[r] or nums[m] > target, then r = m - 1
else go l = m + 1"
130,Search in Rotated Sorted Array 2,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/,Medium,Binary Search,,,,,,X,
131,First Bad Version,https://leetcode.com/problems/first-bad-version/,Easy,Binary Search,,,,X,X,,
132,Search for a Range,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,Medium,Binary Search,,,,,X,,
133,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,Hard,Binary Search,,,X,X,X,X,
134,Find Smallest Letter Greater than Target,https://leetcode.com/problems/find-smallest-letter-greater-than-target/,Easy,Binary Search,,,,,,X,
135,Peak Index in a Mountain Array,https://leetcode.com/problems/peak-index-in-a-mountain-array/,Easy,Binary Search,,,,,,X,
136,Kth Smallest Element in a Sorted Matrix,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/,Medium,Binary Search,,,,,,X,
137,Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix/,Medium,Binary Search,,,X,X,,X,"binary search first for the row, then normal binary search on col
conditions for row binary search

if target > matrix[row][-1] then top = row + 1
if target < matrix[row][0] then bottom = row - 1
else break

REMEMBER TO DO EXTRA CHECK TO SEE IF TOP > BOTTOM AND RETURN FALSE IF SO"
138,Search a 2D Matrix 2,https://leetcode.com/problems/search-a-2d-matrix-ii/,Medium,Binary Search,,,,,X,X,
139,Find K Closest Elements,https://leetcode.com/problems/find-k-closest-elements/,Medium,Binary Search,,,,X,,X,
140,Count of Range Sum,https://leetcode.com/problems/count-of-range-sum/,Hard,Binary Search,,,,,,X,
141,Find Peak Element,https://leetcode.com/problems/find-peak-element/,Medium,Binary Search,,,,,,X,
142,Koko Eating Bananas,https://leetcode.com/problems/koko-eating-bananas/,Medium,Binary Search,,,X,,,,"binary search on the 1 and max of piles
use the sum of the total time taken with the middle speed to see if it's feasible to eat before h hours are up
so totalTime += ceil(float(pile)/m)
if totalTime <= h, then it means it's a feasible time, so we should keep that as the result for now and lower our upper bound
if totalTime < h, then it means we need to increase our speed, so l = m + 1"
143,Search Insert Position,https://leetcode.com/problems/search-insert-position/,Easy,Binary Search,,,,,,,
144,"Find First and Last Position of 
Element in Sorted Array",https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,Medium,Binary Search,,,,,,,
145,Valid Perfect Square,https://leetcode.com/problems/valid-perfect-square/,Easy,Binary Search,,,,,,,
146,Guess Number Higher or Lower,https://leetcode.com/problems/guess-number-higher-or-lower/,Easy,Binary Search,,,,,,,
147,Maximum Number of Removable Characters,https://leetcode.com/problems/maximum-number-of-removable-characters/,Medium,Binary Search,,,,,,,
148,Leftmost Column with at Least a One,https://leetcode.com/problems/leftmost-column-with-at-least-a-one/,Medium,Binary Search,,,,,,,
149,Capacity to Ship Packages Within D Days,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/,Medium,Binary Search,,,,,,,
150,Cutting Ribbons,https://leetcode.com/problems/cutting-ribbons/,Medium,Binary Search,,,,,,,
,,,,,,,,,,,
152,Convert 1D Array into 2D Array,https://leetcode.com/problems/convert-1d-array-into-2d-array/,Easy,Matrix,,,,,,X,
153,Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes/,Medium,Matrix,X,,X,X,,X,
154,Spiral Matrix,https://leetcode.com/problems/spiral-matrix/,Medium,Matrix,X,,X,X,X,X,
155,Rotate Image,https://leetcode.com/problems/rotate-image/,Medium,Matrix,X,,X,X,,X,
156,Valid Sudoku,https://leetcode.com/problems/valid-sudoku/,Medium,Matrix,,,X,X,,,"Hashtable, Set"
157,01 Matrix,https://leetcode.com/problems/01-matrix/,Medium,Matrix,,,,X,,,
,,,,,,,,,,,
159,Reverse a Linked List,https://leetcode.com/problems/reverse-linked-list/,Easy,Linked List,X,X,X,X,X,X,
160,Reverse Linked List 2,https://leetcode.com/problems/reverse-linked-list-ii/,Medium,Linked List,,,,,,X,
161,Linked List Cycle (detect if exists),https://leetcode.com/problems/linked-list-cycle/,Easy,Linked List,X,X,X,x,,X,2 Pointers (Tortoise and Hare)
162,Linked List Cycle 2 (find cycle entry point),https://leetcode.com/problems/linked-list-cycle-ii/,Medium,Linked List,X,,,,,X,"Tortoise/Hare, Move one to 
head, Iterate in sync"
163,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,Easy,Linked List,X,,X,X,X,X,
164,Remove Nth Node from End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,Medium,Linked List,X,X,X,X,,X,2 Pointers
165,Reorder List,https://leetcode.com/problems/reorder-list/,Medium,Linked List,X,,X,X,,X,"Find middle node; reverse second
half; merge both halves"
166,Palindrome Linked List,https://leetcode.com/problems/palindrome-linked-list/,Easy,Linked List,,,,X,X,X,
167,Intersection of two Linked Lists,https://leetcode.com/problems/intersection-of-two-linked-lists/,Easy,Linked List,,,,,X,,
168,Copy Linked List with Random Pointer,https://leetcode.com/problems/copy-list-with-random-pointer/,Medium,Linked List,,,X,,X,,
169,Sort List,https://leetcode.com/problems/sort-list/,Medium,Linked List,,,,X,X,X,
170,Middle of the Linked List,https://leetcode.com/problems/middle-of-the-linked-list/,Easy,Linked List,,,,X,,X,
171,Remove Linked List Elements,https://leetcode.com/problems/remove-linked-list-elements/Z,Easy,Linked List,,,,,,X,
172,Remove Duplicates from Sorted List,https://leetcode.com/problems/remove-duplicates-from-sorted-list/,Easy,Linked List,,,,,,X,
173,Add Two Numbers,https://leetcode.com/problems/add-two-numbers/,Medium,Linked List,,,X,X,X,X,Math
174,Add Two Numbers 2,https://leetcode.com/problems/add-two-numbers-ii/,Medium,Linked List,,,,,,,"reverse lists, Add Two Numbers, 
reverse output"
175,Sort List,https://leetcode.com/problems/sort-list/,Medium,Linked List,,,,,,X,
176,Rotate List,https://leetcode.com/problems/rotate-list/,Medium,Linked List,,,,X,,X,
177,Swap Nodes in Pairs,https://leetcode.com/problems/swap-nodes-in-pairs/,Medium,Linked List,,,,X,,X,
178,Odd Even Linked List,https://leetcode.com/problems/odd-even-linked-list/,Medium,Linked List,,,,X,,X,
179,Reverse Nodes in K Group,https://leetcode.com/problems/reverse-nodes-in-k-group/,Hard,Linked List,,,X,X,,X,
